               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045442,            0.065349,            0.016383,             0.67198,             0.60522,             0.68044,             0.44771,            0.041353,            0.037982,              0.0107,              0.0937,              0.0007,              0.0007
                   1,            0.043838,            0.061679,            0.017209,             0.74687,             0.62464,             0.72462,             0.48452,            0.040449,            0.036825,           0.0091515,            0.086485,           0.0014851,           0.0014851
                   2,            0.044761,            0.070076,            0.015969,             0.80303,             0.64537,             0.75084,             0.48535,            0.040174,            0.035987,           0.0080669,            0.079254,           0.0022545,           0.0022545
                   3,            0.044073,            0.062028,            0.013596,             0.76586,             0.67555,             0.76838,             0.50284,            0.040262,            0.035722,           0.0073316,            0.072008,           0.0030079,           0.0030079
                   4,            0.044567,            0.060827,            0.013255,             0.78489,             0.69533,             0.77652,             0.51237,            0.040115,            0.034952,           0.0066664,            0.064746,           0.0037456,           0.0037456
                   5,            0.045308,            0.056158,            0.013684,             0.78862,             0.70989,             0.79113,             0.50341,            0.041965,            0.033208,           0.0060753,            0.057467,           0.0044673,           0.0044673
                   6,            0.045324,            0.050457,            0.013292,             0.75306,             0.73434,             0.77729,             0.47133,            0.043542,            0.033034,            0.005836,            0.050173,           0.0051733,           0.0051733
                   7,            0.047902,            0.060058,            0.010301,             0.76238,             0.71356,             0.78845,             0.49178,            0.043455,            0.032419,           0.0052358,            0.042863,           0.0058634,           0.0058634
                   8,            0.047663,            0.058351,            0.012426,             0.75716,             0.72467,             0.79108,             0.48322,            0.045802,            0.032411,           0.0050181,            0.035538,           0.0065377,           0.0065377
                   9,            0.046429,            0.054503,            0.010051,             0.73062,             0.77432,             0.80641,             0.51546,            0.043087,             0.03202,           0.0050136,            0.028196,           0.0071961,           0.0071961
                  10,            0.047685,            0.062246,            0.010227,             0.72189,             0.77715,             0.79376,              0.4846,            0.046711,             0.03048,           0.0047522,            0.020839,           0.0078387,           0.0078387
                  11,            0.047132,            0.055222,           0.0098491,             0.78032,             0.75474,             0.79946,             0.50391,            0.045165,            0.029936,           0.0046692,            0.013465,           0.0084655,           0.0084655
                  12,            0.047206,            0.049384,            0.011544,             0.78266,             0.74718,             0.80478,             0.51258,            0.045499,             0.02949,           0.0046436,            0.008812,            0.008812,            0.008812
                  13,            0.046842,            0.055381,            0.011123,             0.80701,             0.77338,             0.82571,             0.52802,            0.044058,            0.029324,           0.0046974,            0.008812,            0.008812,            0.008812
                  14,            0.044912,            0.048424,           0.0097917,             0.80409,             0.76683,             0.82645,             0.54684,            0.042338,             0.02902,           0.0045915,            0.008713,            0.008713,            0.008713
                  15,            0.043085,            0.051914,            0.009367,             0.81485,             0.79048,             0.83502,             0.54766,            0.041506,             0.02896,           0.0044415,            0.008614,            0.008614,            0.008614
                  16,            0.045028,            0.048404,           0.0094953,             0.81426,             0.76533,             0.84333,              0.5261,            0.041132,             0.02913,           0.0043989,            0.008515,            0.008515,            0.008515
                  17,            0.042867,            0.048467,           0.0098118,             0.80554,             0.80523,              0.8585,             0.56047,            0.039805,            0.029121,           0.0042342,            0.008416,            0.008416,            0.008416
                  18,            0.042331,            0.049139,           0.0095972,              0.8453,             0.80695,             0.87168,             0.57904,            0.038547,            0.028303,           0.0042117,            0.008317,            0.008317,            0.008317
                  19,            0.040396,            0.048979,            0.010486,             0.81353,             0.79219,             0.86461,             0.55041,            0.041958,            0.028138,            0.004065,            0.008218,            0.008218,            0.008218
                  20,            0.044029,            0.046807,           0.0095204,             0.82735,             0.82243,             0.86763,             0.53548,            0.042057,            0.027981,             0.00384,            0.008119,            0.008119,            0.008119
                  21,            0.044975,            0.045739,           0.0087217,             0.83099,             0.80678,             0.87345,             0.54985,            0.040668,            0.028338,           0.0038508,             0.00802,             0.00802,             0.00802
                  22,            0.043883,            0.049888,           0.0093821,             0.80721,             0.80213,             0.85893,             0.55163,            0.042496,            0.027301,           0.0037041,            0.007921,            0.007921,            0.007921
                  23,            0.043446,            0.045382,           0.0082785,             0.81022,                0.84,             0.88465,             0.58752,            0.039612,            0.026897,           0.0037706,            0.007822,            0.007822,            0.007822
                  24,            0.039584,            0.048138,           0.0091315,             0.85318,             0.78206,             0.87952,             0.55843,            0.039221,            0.026791,           0.0036509,            0.007723,            0.007723,            0.007723
                  25,            0.042933,            0.040741,           0.0089623,             0.84861,             0.80282,             0.88193,             0.58787,            0.039007,            0.026409,           0.0035547,            0.007624,            0.007624,            0.007624
                  26,            0.041727,            0.049587,           0.0077653,              0.8523,             0.81753,              0.8894,             0.57662,            0.039403,            0.026387,           0.0035799,            0.007525,            0.007525,            0.007525
                  27,            0.042261,            0.052074,           0.0073372,             0.84829,             0.81387,             0.88653,             0.59115,            0.037164,            0.026206,            0.003545,            0.007426,            0.007426,            0.007426
                  28,             0.04172,            0.049309,           0.0085901,             0.84233,             0.82036,              0.8956,             0.59588,            0.038008,            0.025989,           0.0034425,            0.007327,            0.007327,            0.007327
                  29,            0.041091,             0.04592,           0.0081825,             0.85764,             0.80257,             0.89286,              0.5925,            0.037395,            0.025333,           0.0034468,            0.007228,            0.007228,            0.007228
                  30,            0.042323,            0.044857,           0.0072524,              0.8339,              0.8383,             0.89436,              0.5941,            0.037907,            0.025238,           0.0035291,            0.007129,            0.007129,            0.007129
                  31,            0.040778,            0.050509,           0.0074566,             0.84781,             0.83934,             0.90068,             0.60266,            0.036052,            0.025084,           0.0034065,             0.00703,             0.00703,             0.00703
                  32,            0.040709,            0.044118,           0.0081268,             0.82002,             0.85245,             0.89272,             0.59094,            0.036459,            0.025497,           0.0034785,            0.006931,            0.006931,            0.006931
                  33,            0.040115,            0.048156,           0.0073546,             0.84449,             0.83007,             0.88813,             0.58429,            0.037801,             0.02547,           0.0033737,            0.006832,            0.006832,            0.006832
                  34,            0.040941,            0.046967,           0.0074684,             0.89766,             0.83627,             0.90767,             0.60007,            0.036876,            0.024545,           0.0033278,            0.006733,            0.006733,            0.006733
                  35,            0.040335,            0.047407,           0.0072863,             0.92569,             0.82849,             0.91022,             0.61884,            0.035079,            0.023933,           0.0032657,            0.006634,            0.006634,            0.006634
                  36,            0.040511,            0.045814,           0.0071307,             0.91753,              0.8388,             0.90927,             0.62684,            0.034552,            0.023772,           0.0031741,            0.006535,            0.006535,            0.006535
                  37,            0.039498,            0.044995,           0.0071318,             0.88404,             0.85806,             0.92373,             0.63084,            0.035394,            0.023593,           0.0031581,            0.006436,            0.006436,            0.006436
                  38,            0.039391,            0.045089,           0.0065274,             0.85593,             0.86288,             0.91012,             0.61689,             0.03533,            0.024141,           0.0032411,            0.006337,            0.006337,            0.006337
                  39,            0.040594,            0.044047,           0.0065841,             0.84661,             0.87158,             0.92113,             0.63668,            0.033826,            0.023987,           0.0032281,            0.006238,            0.006238,            0.006238
                  40,            0.037846,            0.043564,           0.0074322,             0.86319,             0.86759,             0.91741,             0.62739,            0.034673,            0.024196,           0.0031056,            0.006139,            0.006139,            0.006139
                  41,            0.038947,            0.041978,            0.007213,             0.90027,             0.83341,             0.91322,             0.64823,            0.033942,            0.023389,           0.0029975,             0.00604,             0.00604,             0.00604
                  42,             0.03948,            0.042781,           0.0066866,             0.87689,             0.87696,              0.9215,             0.63905,            0.033505,            0.023343,           0.0030037,            0.005941,            0.005941,            0.005941
                  43,            0.036679,            0.043654,           0.0066395,             0.86051,             0.88439,             0.92306,             0.64702,            0.033099,            0.023248,           0.0029941,            0.005842,            0.005842,            0.005842
                  44,            0.038365,            0.043458,           0.0070883,             0.90431,             0.84531,             0.93654,             0.65109,            0.033549,             0.02328,           0.0029975,            0.005743,            0.005743,            0.005743
                  45,            0.037782,            0.036974,            0.006823,             0.83884,             0.89393,             0.93284,             0.65617,            0.032728,            0.022838,           0.0030161,            0.005644,            0.005644,            0.005644
                  46,            0.036987,             0.04158,           0.0058836,             0.83045,             0.88486,             0.91402,              0.6645,            0.033079,            0.022908,           0.0030062,            0.005545,            0.005545,            0.005545
                  47,            0.035689,            0.041108,           0.0063052,             0.82342,             0.89823,             0.91736,             0.64766,            0.034004,            0.022956,           0.0030042,            0.005446,            0.005446,            0.005446
                  48,            0.037212,            0.039165,           0.0062398,             0.88372,             0.86713,              0.9245,             0.66826,            0.031587,            0.022593,           0.0029544,            0.005347,            0.005347,            0.005347
                  49,              0.0345,            0.039156,           0.0059457,             0.88673,             0.87352,             0.92622,             0.67162,            0.031505,            0.022252,           0.0028811,            0.005248,            0.005248,            0.005248
                  50,            0.036263,            0.037345,           0.0067066,             0.89693,             0.86601,              0.9209,             0.67402,            0.031365,            0.022087,           0.0028579,            0.005149,            0.005149,            0.005149
                  51,            0.037447,              0.0435,           0.0067389,             0.92087,             0.87637,             0.93408,             0.67929,            0.031642,             0.02223,           0.0027919,             0.00505,             0.00505,             0.00505
                  52,            0.037651,            0.040953,           0.0058187,             0.90589,             0.86102,             0.92454,             0.67931,            0.031446,            0.021864,           0.0027794,            0.004951,            0.004951,            0.004951
                  53,            0.035413,            0.038026,           0.0063095,             0.90602,             0.85902,             0.92618,             0.67593,            0.031151,            0.021712,           0.0027794,            0.004852,            0.004852,            0.004852
                  54,            0.036863,            0.036838,           0.0076113,             0.90315,             0.86175,             0.92596,             0.67785,            0.031063,             0.02181,           0.0027722,            0.004753,            0.004753,            0.004753
                  55,            0.036836,            0.039559,           0.0063912,             0.90625,             0.86487,             0.92852,             0.68617,            0.030633,            0.021766,           0.0027102,            0.004654,            0.004654,            0.004654
                  56,            0.035576,            0.040162,           0.0065517,             0.90777,             0.85543,             0.92658,             0.67963,            0.030405,            0.021858,           0.0026445,            0.004555,            0.004555,            0.004555
                  57,            0.035172,            0.035553,           0.0063817,             0.90621,             0.86407,             0.92974,             0.68236,             0.03023,            0.021674,           0.0025878,            0.004456,            0.004456,            0.004456
                  58,            0.034701,             0.04336,           0.0069031,             0.92576,             0.86409,             0.92963,             0.69575,            0.029043,            0.021523,           0.0025231,            0.004357,            0.004357,            0.004357
                  59,             0.03492,            0.036476,           0.0055403,             0.91621,             0.88014,              0.9379,             0.69936,            0.030079,            0.021484,           0.0024803,            0.004258,            0.004258,            0.004258
                  60,            0.034908,            0.037662,           0.0059971,             0.94017,             0.85974,             0.94289,             0.70059,            0.029566,            0.021326,           0.0024412,            0.004159,            0.004159,            0.004159
                  61,            0.034683,            0.040873,            0.005616,             0.91743,              0.8799,             0.94087,             0.69422,            0.029872,            0.021256,           0.0024306,             0.00406,             0.00406,             0.00406
                  62,            0.036807,            0.038102,           0.0064132,             0.91378,             0.87654,             0.93602,             0.69338,            0.029423,            0.020973,           0.0024483,            0.003961,            0.003961,            0.003961
                  63,            0.034148,             0.03974,           0.0052355,             0.91026,             0.88844,             0.94113,             0.69748,            0.029289,            0.020895,           0.0024337,            0.003862,            0.003862,            0.003862
                  64,            0.035307,            0.038423,           0.0051988,             0.90582,             0.89228,             0.94975,             0.71314,            0.028263,            0.020567,           0.0024257,            0.003763,            0.003763,            0.003763
                  65,            0.033525,            0.040858,           0.0056705,              0.9191,             0.88753,             0.93693,             0.70572,            0.028376,            0.020481,           0.0023989,            0.003664,            0.003664,            0.003664
                  66,            0.032454,            0.034946,           0.0054017,             0.92098,             0.88804,             0.93823,              0.7201,            0.028085,            0.020575,           0.0023872,            0.003565,            0.003565,            0.003565
                  67,            0.032989,            0.040648,            0.005283,             0.91464,             0.89812,              0.9416,             0.72075,            0.028063,            0.020531,           0.0023905,            0.003466,            0.003466,            0.003466
                  68,            0.032911,            0.036747,           0.0056097,             0.89852,             0.90124,             0.95403,              0.7205,            0.028344,            0.020503,            0.002382,            0.003367,            0.003367,            0.003367
                  69,            0.032859,            0.041191,            0.005896,             0.92745,              0.8921,             0.95542,             0.72796,            0.027638,            0.020448,           0.0023575,            0.003268,            0.003268,            0.003268
                  70,            0.033289,            0.045739,           0.0053464,             0.91783,             0.90091,              0.9541,             0.72234,             0.02771,            0.020345,           0.0023316,            0.003169,            0.003169,            0.003169
                  71,            0.032059,            0.039471,            0.005059,             0.92582,             0.89957,             0.95614,             0.73021,            0.027299,            0.020314,           0.0023186,             0.00307,             0.00307,             0.00307
                  72,            0.033167,             0.03993,           0.0054279,             0.93154,             0.88207,             0.95551,             0.73427,            0.026992,            0.019995,           0.0023063,            0.002971,            0.002971,            0.002971
                  73,            0.031357,            0.039023,           0.0053712,             0.87557,             0.92588,             0.95346,             0.73468,             0.02709,            0.019873,           0.0022697,            0.002872,            0.002872,            0.002872
                  74,            0.032839,            0.039217,           0.0053612,             0.93081,             0.87946,             0.95196,             0.74183,            0.026606,            0.019673,           0.0022478,            0.002773,            0.002773,            0.002773
                  75,            0.033293,            0.041908,           0.0052374,             0.92569,             0.88175,             0.95176,             0.73469,            0.026609,             0.01965,           0.0022325,            0.002674,            0.002674,            0.002674
                  76,            0.032701,            0.034582,           0.0046689,             0.92383,             0.88777,             0.94735,             0.73218,            0.026547,            0.019701,           0.0022097,            0.002575,            0.002575,            0.002575
                  77,            0.031495,            0.035876,           0.0047053,             0.91272,             0.89634,             0.94647,             0.72823,            0.026328,            0.019617,           0.0021901,            0.002476,            0.002476,            0.002476
                  78,            0.031213,            0.037356,           0.0046817,             0.91697,             0.90023,             0.94885,             0.73153,            0.026313,            0.019465,            0.002153,            0.002377,            0.002377,            0.002377
                  79,            0.032746,            0.038107,           0.0049973,             0.92055,             0.90195,             0.95696,             0.74529,            0.025947,            0.019345,           0.0021321,            0.002278,            0.002278,            0.002278
                  80,             0.02969,            0.032147,           0.0048466,             0.92641,             0.89743,             0.95843,              0.7499,            0.026056,            0.019341,           0.0021358,            0.002179,            0.002179,            0.002179
                  81,            0.032026,            0.039995,           0.0047845,               0.934,             0.88702,             0.95786,             0.74794,            0.025886,            0.019158,           0.0021216,             0.00208,             0.00208,             0.00208
                  82,            0.033626,            0.033951,           0.0055404,             0.92861,             0.89445,             0.95838,             0.73861,            0.026407,            0.019209,           0.0021002,            0.001981,            0.001981,            0.001981
                  83,            0.029638,            0.037304,           0.0044246,             0.92888,              0.9003,             0.95755,             0.74849,            0.025579,            0.018992,            0.002092,            0.001882,            0.001882,            0.001882
                  84,            0.031141,            0.036622,           0.0047238,             0.89547,              0.9293,             0.95811,             0.75666,            0.025302,            0.018857,           0.0020807,            0.001783,            0.001783,            0.001783
                  85,            0.027815,            0.032726,           0.0048878,             0.89531,             0.92871,             0.95826,             0.74968,            0.025302,            0.018816,            0.002046,            0.001684,            0.001684,            0.001684
                  86,            0.031964,            0.037472,           0.0053159,             0.89823,             0.92795,             0.95835,             0.75634,             0.02523,            0.018769,           0.0020065,            0.001585,            0.001585,            0.001585
                  87,            0.029254,            0.033876,           0.0047003,             0.90334,             0.92718,             0.95792,             0.76295,            0.024979,             0.01861,           0.0019826,            0.001486,            0.001486,            0.001486
                  88,            0.028959,             0.03328,           0.0044914,             0.90413,             0.90814,             0.95522,             0.76424,            0.024995,            0.018584,           0.0019584,            0.001387,            0.001387,            0.001387
                  89,            0.029676,            0.034273,           0.0047053,             0.93122,             0.89153,             0.95375,             0.76576,            0.024691,            0.018474,           0.0019443,            0.001288,            0.001288,            0.001288
                  90,            0.029617,            0.035371,           0.0050651,              0.9243,             0.89636,              0.9529,             0.76767,            0.024325,            0.018298,           0.0019345,            0.001189,            0.001189,            0.001189
                  91,            0.030195,            0.036882,           0.0047159,             0.92406,             0.89932,             0.95452,             0.77233,            0.024227,            0.018237,           0.0019305,             0.00109,             0.00109,             0.00109
                  92,            0.028838,            0.035536,           0.0046856,             0.93256,             0.88647,             0.95349,             0.77279,            0.024126,            0.018151,           0.0019127,            0.000991,            0.000991,            0.000991
                  93,            0.029478,             0.03891,           0.0042958,             0.93485,             0.88418,             0.95437,               0.774,            0.024033,            0.018064,           0.0019082,            0.000892,            0.000892,            0.000892
                  94,            0.029748,            0.037134,           0.0052789,             0.93313,             0.89087,             0.95437,             0.78013,            0.023893,            0.017992,           0.0019023,            0.000793,            0.000793,            0.000793
                  95,            0.027512,            0.034287,           0.0042988,             0.93446,               0.889,             0.95614,              0.7792,            0.023724,            0.017918,            0.001895,            0.000694,            0.000694,            0.000694
                  96,            0.028307,            0.034635,           0.0044376,             0.93643,             0.89097,             0.95651,             0.78495,            0.023653,            0.017852,           0.0018902,            0.000595,            0.000595,            0.000595
                  97,            0.030222,            0.038468,           0.0047671,             0.93935,             0.89639,             0.95908,             0.78489,            0.023731,            0.017824,           0.0018888,            0.000496,            0.000496,            0.000496
                  98,            0.027924,            0.035963,            0.004822,             0.93915,              0.8966,             0.95862,             0.78625,            0.023531,            0.017728,           0.0018833,            0.000397,            0.000397,            0.000397
                  99,            0.030345,            0.038249,            0.004443,             0.93916,             0.89617,             0.95796,             0.78308,            0.023431,            0.017678,             0.00188,            0.000298,            0.000298,            0.000298
